ticker,period,total_revenue,price,var_revenue,var_price
AAL,2012-12-31,24855e6,13.5,NA,NA
AAL,2013-12-31,26743e6,25.25,0.07596057131361889,0.8703703703703705
AAL,2014-12-31,4265e7,53.630001,0.5948098567849531,1.1239604356435642
AAL,2015-12-31,4099e7,42.349998,-0.03892145369284872,-0.21033009117415458
AAP,2012-12-29,6205003e3,NA,NA,NA
AAP,2013-12-28,6493814e3,NA,0.04654486065518415,NA
AAP,2015-01-03,9843861e3,NA,0.5158828078537512,NA
AAP,2016-01-02,9737018e3,NA,-0.010853769674317837,NA
AAPL,2013-09-28,17091e7,NA,NA,NA
AAPL,2014-09-27,182795e6,NA,0.06953952372593752,NA
AAPL,2015-09-26,233715e6,NA,0.27856341803659834,NA
AAPL,2016-09-24,215639e6,NA,-0.07734206191301374,NA
ABBV,2012-12-31,1838e7,NA,NA,NA
ABBV,2013-12-31,1879e7,52.810001,0.022306855277475446,NA
ABBV,2014-12-31,1996e7,65.440002,0.06226716338477911,0.23915926454915248
ABBV,2015-12-31,22859e6,59.240002,0.14524048096192388,-0.0947432733880419
ABC,2013-09-30,87959167e3,61.099998,NA,NA
ABC,2014-09-30,119569127e3,77.300003,0.3593708430640321,0.2651392067148677
ABC,2015-09-30,135961803e3,94.989998,0.13709789818905338,0.22884856809125864
ABC,2016-09-30,146849686e3,80.779999,0.08008045465534175,-0.14959468680060395
ABT,2012-12-31,1905e7,31.4268731312,NA,NA
ABT,2013-12-31,19657e6,38.330002,0.031863517060367386,0.21965687900227993
ABT,2014-12-31,20247e6,45.02,0.03001475301419343,0.17453685496807436
ABT,2015-12-31,20405e6,44.91,0.007803625228428812,-0.00244335850733024
ADBE,2013-11-29,405524e4,56.779999,NA,NA
ADBE,2014-11-28,4147065e3,73.68,0.022643542675649275,0.2976400369432908
ADBE,2015-11-27,4795511e3,92.169998,0.15636263236771075,0.2509500271444083
ADBE,2016-12-02,585443e4,99.730003,0.22081463268460855,0.08202240603281763
ADI,2013-11-02,2633689e3,NA,NA,NA
ADI,2014-11-01,2864773e3,NA,0.08774156705670255,NA
ADI,2015-10-31,3435092e3,NA,0.19907999691424072,NA
ADI,2016-10-29,3421409e3,NA,-0.0039832994283705014,NA
ADM,2012-12-31,90559e6,27.389999,NA,NA
ADM,2013-12-31,89804e6,43.400002,-0.00833710619596062,0.5845200286425714
ADM,2014-12-31,81201e6,52,-0.09579751458732355,0.19815662681305857
ADM,2015-12-31,67702e6,36.68,-0.16624179505178505,-0.2946153846153846
