ticker,period,operating_margin,price,var_price
ANTM,2014-12-31,6,125.669998,0.36021213724658674
ANTM,2015-12-31,6,139.440002,0.10957272395277662
AON,2012-12-31,14,55.610001,NA
AON,2013-12-31,14,83.889999,0.5085415840938396
AON,2014-12-31,16,94.830002,0.13040890607234346
AON,2015-12-31,16,92.209999,-0.02762841869390653
APA,2012-12-31,30,78.5,NA
APA,2013-12-31,30,85.940002,0.09477709554140135
APA,2014-12-31,21,62.669998,-0.27077034510657805
APA,2015-12-31,437,44.470001,-0.29041004596808817
APC,2013-12-31,23,79.32,NA
APC,2014-12-31,29,82.5,0.04009077155824525
APC,2015-12-31,101,48.580002,-0.41115149090909087
APC,2016-12-31,33,NA,NA
APD,2013-09-30,13,98.5846373729,NA
APD,2014-09-30,13,120.425526365,0.22154454866518436
APD,2015-09-30,17,118.020352451,-0.01997229313916482
APD,2016-09-30,22,139.07493247,0.17839787444916744
APH,2012-12-31,19,32.3499985,NA
APH,2013-12-31,19,44.59,0.37836173315433097
APH,2014-12-31,19,53.810001,0.20677284144427
APH,2015-12-31,20,52.23,-0.02936259005087183
ARNC,2012-12-31,2,6.50675187406,NA
ARNC,2013-12-31,6,7.96852248875,0.22465442712170036
ARNC,2014-12-31,4,11.8365914543,0.48541859184195824
ARNC,2015-12-31,3,7.3988065967,-0.37492084395527914
ATVI,2012-12-31,30,10.62,NA
ATVI,2013-12-31,30,17.83,0.6789077212806025
ATVI,2014-12-31,27,20.15,0.1301177790241166
ATVI,2015-12-31,28,38.709999,0.9210917617866008
AVB,2012-12-31,35,135.589996,NA
AVB,2013-12-31,21,118.230003,-0.1280329929355556
AVB,2014-12-31,37,163.389999,0.3819673082474675
AVB,2015-12-31,38,184.130005,0.12693559047025893
AVGO,2015-11-01,24,NA,NA
AVGO,2016-10-30,3,NA,NA
AVY,2012-12-31,6,34.919998,NA
AVY,2013-12-28,8,NA,NA
AVY,2015-01-03,8,NA,NA
AVY,2016-01-02,9,NA,NA
AWK,2012-12-31,32,37.130001,NA
AWK,2013-12-31,33,42.259998,0.1381631258237781
AWK,2014-12-31,33,53.299999,0.2612399792352096
AWK,2015-12-31,34,59.75,0.12101315424039694
AXP,2012-12-31,0,57.48,NA
AXP,2013-12-31,0,90.730003,0.5784621259568545
AXP,2014-12-31,0,93.040001,0.025460133623053105
AXP,2015-12-31,0,69.550003,-0.25247203082037795
AYI,2013-08-31,11,NA,NA
AYI,2014-08-31,12,NA,NA
AYI,2015-08-31,14,194.869995,NA
AYI,2016-08-31,14,275.119995,0.4118130141071745
AZO,2013-08-31,19,NA,NA
AZO,2014-08-30,19,NA,NA
AZO,2015-08-29,19,NA,NA
AZO,2016-08-27,19,NA,NA
BA,2013-12-31,8,136.490005,NA
BA,2014-12-31,8,129.979996,-0.04769586608191567
BA,2015-12-31,8,144.589996,0.11240191144489664
BA,2016-12-31,6,NA,NA
BAC,2012-12-31,0,11.61,NA
BAC,2013-12-31,0,15.57,0.3410852713178296
BAC,2014-12-31,0,17.889999,0.14900443159922916
BAC,2015-12-31,0,16.83,-0.0592509256149204
BAX,2012-12-31,20,36.2085828354,NA
BAX,2013-12-31,5,37.7783807713,0.043354304780060415
BAX,2014-12-31,6,39.8098859316,0.05377427827302017
BAX,2015-12-31,5,38.150002,-0.04169526972400661
BBBY,2013-03-02,15,NA,NA
BBBY,2014-03-01,14,NA,NA
BBBY,2015-02-28,13,NA,NA
BBBY,2016-02-27,12,NA,NA
BBT,2012-12-31,0,29.110001,NA
BBT,2013-12-31,0,37.32,0.2820336213660728
